,#,Player,Nat.,Age at that time,Club,Market value - carreer high,Current Market Value,Market value at that time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
33,,Sassuolo,,,,,,,,,,,,
34,Italy,,,,,,,,,,,,,
35,158,Leon Goretzka Central Midfield,,Leon Goretzka,Central Midfield,,18.0,VfL Bochum Germany,,VfL Bochum,Germany,"40,00 Mill. €","40,00 Mill. €","4,50 Mill. €"
36,,Leon Goretzka,,,,,,,,,,,,
37,Central Midfield,,,,,,,,,,,,,
38,,VfL Bochum,,,,,,,,,,,,
39,Germany,,,,,,,,,,,,,
40,159,Pablo Piatti Left Winger,,Pablo Piatti,Left Winger,,18.0,Estudiantes Argentina,,Estudiantes,Argentina,"9,00 Mill. €","6,00 Mill. €","4,50 Mill. €"
41,,Pablo Piatti,,,,,,,,,,,,
42,Left Winger,,,,,,,,,,,,,
43,,Estudiantes,,,,,,,,,,,,
44,Argentina,,,,,,,,,,,,,
45,160,Luc Castaignos Centre-Forward,,Luc Castaignos,Centre-Forward,,18.0,Feyenoord Netherlands,,Feyenoord,Netherlands,"7,00 Mill. €","1,00 Mill. €","4,50 Mill. €"
46,,Luc Castaignos,,,,,,,,,,,,
47,Centre-Forward,,,,,,,,,,,,,
48,,Feyenoord,,,,,,,,,,,,
49,Netherlands,,,,,,,,,,,,,
50,161,Georginio Wijnaldum Central Midfield,,Georginio Wijnaldum,Central Midfield,,18.0,Feyenoord Netherlands,,Feyenoord,Netherlands,"40,00 Mill. €","40,00 Mill. €","4,50 Mill. €"
51,,Georginio Wijnaldum,,,,,,,,,,,,
52,Central Midfield,,,,,,,,,,,,,
53,,Feyenoord,,,,,,,,,,,,
54,Netherlands,,,,,,,,,,,,,
55,162,Godfred Donsah Central Midfield,,Godfred Donsah,Central Midfield,,18.0,Cagliari Calcio Italy,,Cagliari Calcio,Italy,"10,00 Mill. €","10,00 Mill. €","4,50 Mill. €"
56,,Godfred Donsah,,,,,,,,,,,,
57,Central Midfield,,,,,,,,,,,,,
58,,Cagliari Calcio,,,,,,,,,,,,
59,Italy,,,,,,,,,,,,,
60,163,Franco Zuculini Central Midfield,,Franco Zuculini,Central Midfield,,18.0,TSG Hoffenheim Germany,,TSG Hoffenheim,Germany,"4,50 Mill. €",600 Th. €,"4,50 Mill. €"
61,,Franco Zuculini,,,,,,,,,,,,
62,Central Midfield,,,,,,,,,,,,,
63,,TSG Hoffenheim,,,,,,,,,,,,
64,Germany,,,,,,,,,,,,,
65,164,Micah Richards Centre-Back,,Micah Richards,Centre-Back,,18.0,Man City England,,Man City,England,"18,50 Mill. €","1,00 Mill. €","4,50 Mill. €"
66,,Micah Richards,,,,,,,,,,,,
67,Centre-Back,,,,,,,,,,,,,
68,,Man City,,,,,,,,,,,,
69,England,,,,,,,,,,,,,
70,165,Myziane Maolida Centre-Forward,,Myziane Maolida,Centre-Forward,,18.0,Olympique Lyon France,,Olympique Lyon,France,"9,00 Mill. €","9,00 Mill. €","4,50 Mill. €"
71,,Myziane Maolida,,,,,,,,,,,,
72,Centre-Forward,,,,,,,,,,,,,
73,,Olympique Lyon,,,,,,,,,,,,
74,France,,,,,,,,,,,,,
